Age1,Race,Sex,State,Crime,Convicted,Exonerated,Sentence,Lost,Age2,id
18,Caucasian,Male,Illinois,Murder,2012,2016,Life,4,22,1
29,Black,Male,New York,Murder,1964,2016,30 years to life,52,81,2
26,Black,Male,New York,Murder,1981,2016,18 to life,35,61,3
26,Caucasian,Male,Virginia,Murder,1983,2016,Life,33,59,4
22,Caucasian,Male,California,Murder,1987,2016,26 years to life,29,51,5
20,Black,Male,West Virginia,Sexual Assault,1990,2016,33 years to life,26,46,6
20,Black,Male,North Carolina,Murder,1993,2016,20 years,23,43,7
31,Black,Male,Colorado,Sexual Assault,1988,2016,48 years,28,59,8
27,Hispanic,Male,Puerto Rico,Murder,1994,2016,Life,22,49,9
22,Black,Male,New Jersey,Sexual Assault,1992,2016,8 years,24,46,10
18,Hispanic,Male,Puerto Rico,Murder,1994,2016,Life,22,40,11
20,Hispanic,Male,Puerto Rico,Murder,1994,2016,Life,22,42,12
15,Caucasian,Male,North Carolina,Murder,1989,2016,Life,27,42,13
22,Caucasian,Male,North Carolina,Sexual Assault,1991,2016,Life,25,47,14
31,Caucasian,Male,Missouri,Child Sex Abuse,1992,2016,Probation,24,55,15
26,Black,Male,Florida,Sexual Assault,1989,2016,Life,27,53,16
37,Black,Male,Indiana,Sexual Assault,1991,2016,65 years,25,62,17
25,Black,Male,Florida,Child Sex Abuse,1991,2016,Life,25,50,18
34,Black,Male,North Carolina,Child Sex Abuse,1992,2016,Life,24,58,19
33,Black,Female,New York,Manslaughter,1998,2016,5 to 15 years,18,51,20
24,Black,Male,New York,Murder,1992,2016,25 years to life,24,48,21
29,Black,Male,North Carolina,Murder,1995,2016,80 years,21,50,22
35,Caucasian,Male,Pennsylvania,Murder,1992,2016,Life without parole,24,59,23
20,Black,Male,Pennsylvania,Murder,1993,2016,Life without parole,23,43,24
23,Black,Male,Indiana,Murder,1992,2016,60 years,24,47,25
24,Black,Male,Wisconsin,Sexual Assault,1993,2016,Life,23,47,26
25,Caucasian,Male,Texas,Child Sex Abuse,1993,2016,3 months,23,48,27
31,Black,Male,Illinois,Murder,1994,2016,Life without parole,22,53,28
25,Hispanic,Male,Illinois,Murder,1994,2016,55 years,22,47,29
17,Black,Male,Louisiana,Murder,1994,2016,Life without parole,22,39,30
43,Caucasian,Male,California,Murder,1997,2016,25 years to life,19,62,31
20,Hispanic,Male,Illinois,Murder,1994,2016,55 years,22,42,32
24,Black,Male,Illinois,Murder,1996,2016,Life without parole,20,44,33
17,Black,Male,Oklahoma,Murder,1995,2016,Life,21,38,34
18,Caucasian,Male,New York,Murder,1997,2016,25 years to life,19,37,35
34,Caucasian,Male,Texas,Child Sex Abuse,1995,2016,Life,21,55,36
21,Hispanic,Female,Texas,Child Sex Abuse,1998,2016,15 years,18,39,37
22,Black,Male,New Jersey,Murder,1996,2016,60 years,20,42,38
20,Hispanic,Female,Texas,Child Sex Abuse,1998,2016,37 1/2 years,18,38,39
19,Hispanic,Female,Texas,Child Sex Abuse,1998,2016,15 years,18,37,40
17,Black,Male,Oklahoma,Murder,1995,2016,Life,21,38,41
19,Hispanic,Female,Texas,Child Sex Abuse,1998,2016,15 years,18,37,42
16,Black,Male,Ohio,Murder,1996,2016,15 years to life,20,36,43
17,Black,Male,Ohio,Murder,1996,2016,18 years to life,20,37,44
17,Black,Male,Ohio,Murder,1996,2016,18 years to life,20,37,45
50,Black,Male,California,Child Sex Abuse,1998,2016,27 years,18,68,46
20,Hispanic,Male,New York,Murder,1998,2016,25 years to life,18,38,47
36,Caucasian,Female,Michigan,Child Sex Abuse,2002,2016,25 to 50 years,14,50,48
21,Black,Male,Illinois,Murder,1998,2016,55 years,18,39,49
41,Caucasian,Male,Texas,Child Sex Abuse,1998,2016,10 years,18,59,50
20,Caucasian,Male,Virginia,Murder,1999,2016,Life without parole,17,37,51
19,Black,Male,New York,Murder,1998,2016,39 years to life,18,37,52
19,Black,Male,New York,Murder,1999,2016,37 1/2 years to life,17,36,53
