Age1,Race,Sex,State,Crime,Convicted,Exonerated,Sentence,Lost,Age2,id
24,Caucasian,Male,Virginia,Sexual Assault,1977,2013,15 years,36,60,1
25,Caucasian,Male,Pennsylvania,Murder,1986,2013,Life,27,52,2
18,Black,Male,California,Murder,1979,2013,Life without parole,34,52,3
26,Caucasian,Male,Texas,Murder,1984,2013,99 years,29,55,4
25,Black,Male,Missouri,Murder,1983,2013,95 years,30,55,5
28,Black,Male,Illinois,Sexual Assault,1983,2013,Life,30,58,6
22,Black,Male,Missouri,Murder,1988,2013,Death,25,47,7
20,Black,Male,Missouri,Sexual Assault,1984,2013,98 years,29,49,8
22,Black,Male,Georgia,Murder,1984,2013,Life,29,51,9
25,Black,Male,New York,Sexual Assault,1985,2013,10 to 20 years,28,53,10
25,Caucasian,Male,Maryland,Sexual Assault,1987,2013,Life,26,51,11
21,Black,Male,Massachusetts,Murder,1987,2013,Life without parole,26,47,12
26,Black,Male,Illinois,Sexual Assault,1986,2013,60 years,27,53,13
20,Caucasian,Male,Michigan,Murder,1988,2013,Life without parole,25,45,14
21,Caucasian,Male,Michigan,Murder,1988,2013,Life without parole,25,46,15
36,Black,Male,North Carolina,Murder,1993,2013,Life,20,56,16
38,Black,Male,North Carolina,Murder,1995,2013,Life,18,56,17
34,Black,Male,New York,Murder,1989,2013,25 to life,24,58,18
39,Black,Male,Wyoming,Sexual Assault,1989,2013,Life,24,63,19
19,Caucasian,Male,Virginia,Murder,1991,2013,Life,22,41,20
24,Black,Male,Illinois,Murder,1990,2013,82 years,23,47,21
35,Caucasian,Male,New York,Murder,1991,2013,37 1/2 years to life,22,57,22
31,Caucasian,Male,Wisconsin,Sexual Assault,1994,2013,Life,19,50,23
17,Black,Male,Illinois,Murder,1995,2013,Life without parole,18,35,24
35,Caucasian,Female,Utah,Murder,1995,2013,Life,18,53,25
32,Caucasian,Male,Vermont,Murder,1995,2013,Life without parole,18,50,26
28,Black,Male,New Jersey,Murder,1995,2013,30 years,18,46,27
18,Black,Male,New York,Murder,1997,2013,25 years to life,16,34,28
19,Black,Male,New York,Murder,1997,2013,25 years to life,16,35,29
29,Black,Male,Texas,Child Sex Abuse,1996,2013,60 years,17,46,30
25,Hispanic,Male,New York,Murder,1997,2013,25 years to life,16,41,31
21,Black,Male,Connecticut,Murder,1999,2013,Life,14,35,32
18,Black,Male,Connecticut,Murder,2000,2013,90 years,13,31,33
21,Black,Male,Connecticut,Murder,1999,2013,Life,14,35,34
18,Black,Male,Connecticut,Murder,2001,2013,75 years,12,30,35
22,Black,Male,Texas,Murder,1999,2013,Life,14,36,36
35,Black,Male,Illinois,Child Sex Abuse,2000,2013,22 years,13,48,37
21,Hispanic,Male,Illinois,Murder,2000,2013,45 years,13,34,38
23,Black,Male,California,Child Sex Abuse,2000,2013,16 years,13,36,39
21,Black,Male,Kansas,Attempted Murder,2000,2013,16 years and 11 months,13,34,40
36,Caucasian,Male,Indiana,Murder,2002,2013,Life,11,47,41
39,Black,Male,New Jersey,Child Sex Abuse,2002,2013,22 years,11,50,42
