Age1,Race,Sex,State,Crime,Convicted,Exonerated,Sentence,Lost,Age2,id
20,Black,Male,Maryland,Murder,1968,2014,Life,46,66,1
17,Black,Male,Ohio,Murder,1975,2014,Death,39,56,2
20,Black,Male,Ohio,Murder,1975,2014,Death,39,59,3
18,Black,Male,Ohio,Murder,1975,2014,Death,39,57,4
21,Black,Male,North Carolina,Murder,1976,2014,80 years,38,59,5
20,Black,Male,District of Columbia,Murder,1979,2014,20 to Life,35,55,6
26,Black,Male,Louisiana,Murder,1983,2014,Life without parole,31,57,7
18,Black,Male,Texas,Robbery,1980,2014,Life,34,52,8
28,Caucasian,Male,Michigan,Murder,2010,2014,25 to 50 years,4,32,9
17,Black,Male,District of Columbia,Manslaughter,1984,2014,15 to Life,30,47,10
32,Black,Male,Illinois,Murder,1999,2014,37 years,15,47,11
15,Black,Male,North Carolina,Murder,1984,2014,Death,30,45,12
34,Black,Male,Louisiana,Murder,1984,2014,Death,30,64,13
19,Black,Male,North Carolina,Murder,1984,2014,Death,30,49,14
22,Black,Male,New York,Murder,1988,2014,18 to life,26,48,15
21,Black,Male,New York,Murder,1988,2014,18 to life,26,47,16
16,Black,Male,New York,Murder,1986,2014,25 years to life,28,44,17
16,Black,Male,New York,Murder,1986,2014,25 years to life,28,44,18
26,Black,Male,New York,Murder,1988,2014,18 to life,26,52,19
27,Black,Male,New York,Murder,1990,2014,25 to life,24,51,20
30,Hispanic,Male,New York,Murder,1990,2014,25 to life,24,54,21
24,Caucasian,Male,Florida,Child Sex Abuse,1991,2014,Life,23,47,22
32,Black,Male,Texas,Sexual Assault,1990,2014,12 years,24,56,23
16,Caucasian,Male,Missouri,Murder,1995,2014,31 years,19,35,24
15,Black,Male,Illinois,Murder,1995,2014,30 years,19,34,25
35,Caucasian,Male,North Carolina,Child Sex Abuse,1994,2014,Life,20,55,26
20,Black,Male,Illinois,Murder,1995,2014,Life without parole,19,39,27
17,Black,Male,Illinois,Murder,1995,2014,30 years,19,36,28
15,Black,Male,New York,Murder,1994,2014,9 to Life,20,35,29
18,Black,Male,New York,Murder,1994,2014,75 to life,20,38,30
29,Hispanic,Male,Texas,Attempted Murder,1994,2014,25 years,20,49,31
26,Caucasian,Male,Ohio,Child Sex Abuse,1996,2014,15 to 50 years,18,44,32
30,Caucasian,Male,Ohio,Murder,1995,2014,Life,19,49,33
28,Black,Male,Illinois,Murder,1995,2014,80 years,19,47,34
24,Black,Male,Maryland,Murder,1995,2014,Life,19,43,35
20,Black,Male,Illinois,Sexual Assault,1995,2014,60 years,19,39,36
19,Caucasian,Male,Tennessee,Murder,1997,2014,Life without parole,17,36,37
19,Black,Male,Ohio,Murder,1995,2014,21 years to life,19,38,38
17,Native American,Female,Oklahoma,Murder,1995,2014,Life without parole,19,36,39
38,Black,Male,Illinois,Sexual Assault,1996,2014,50 years,18,56,40
35,Black,Male,Washington,Child Sex Abuse,1995,2014,Life,19,54,41
16,Black,Male,Pennsylvania,Murder,1998,2014,Life,16,32,42
35,Black,Male,Wisconsin,Child Sex Abuse,1997,2014,8 years,17,52,43
16,Black,Male,Pennsylvania,Murder,1998,2014,Life,16,32,44
17,Black,Male,West Virginia,Murder,1998,2014,Life,16,33,45
