Age1,Race,Sex,State,Crime,Convicted,Exonerated,Sentence,Lost,Age2,id
24,Caucasian,Male,Pennsylvania,Murder,1982,2015,Life without parole,33,57,1
34,Black,Male,North Carolina,Murder,1978,2015,Life,37,71,2
26,Caucasian,Female,Nevada,Murder,1980,2015,Life without parole,35,61,3
14,Black,Male,Illinois,Murder,1977,2015,50 to 100 years,38,52,4
31,Caucasian,Male,California,Murder,1980,2015,Life without parole,35,66,5
19,Caucasian,Male,Illinois,Murder,1982,2015,55 years,33,52,6
25,Hispanic,Male,New York,Murder,1981,2015,25 years to life,34,59,7
34,Black,Male,New York,Murder,1981,2015,25 years to life,34,68,8
30,Hispanic,Male,New York,Murder,1981,2015,25 years to life,34,64,9
19,Caucasian,Male,Massachusetts,Child Sex Abuse,1983,2015,4 to 6 years,32,51,10
18,Black,Male,Illinois,Murder,1985,2015,20 years,30,48,11
35,Black,Male,Illinois,Murder,1984,2015,40 years,31,66,12
17,Caucasian,Male,Illinois,Murder,1987,2015,Life without parole,28,45,13
29,Black,Male,Alabama,Murder,1986,2015,Death,29,58,14
22,Black,Male,New York,Burglary/Unlawful Entry,1987,2015,1 1/2 to 4 years,28,50,15
25,Caucasian,Male,Georgia,Murder,1987,2015,Death,28,53,16
29,Caucasian,Male,Virginia,Sexual Assault,1986,2015,35 years,29,58,17
41,Caucasian,Male,Connecticut,Murder,1992,2015,Life without parole,23,64,18
32,Caucasian,Male,Virginia,Murder,1988,2015,Life,27,59,19
18,Black,Male,New York,Weapon Possession or Sale,1991,2015,7.5 to 15 years,24,42,20
27,Black,Male,North Carolina,Sexual Assault,1988,2015,Life,27,54,21
23,Black,Male,New York,Murder,1989,2015,20 years to life,26,49,22
26,Caucasian,Male,Ohio,Murder,1992,2015,15 to life,23,49,23
54,Asian,Male,Pennsylvania,Murder,1990,2015,Life without parole,25,79,24
25,Caucasian,Female,Arizona,Murder,1990,2015,Death,25,50,25
25,Black,Male,Connecticut,Murder,1995,2015,120 years,20,45,26
20,Black,Male,Illinois,Murder,1991,2015,60 years,24,44,27
16,Black,Male,Michigan,Child Sex Abuse,1992,2015,6 to 20 years,23,39,28
25,Black,Male,New York,Murder,1992,2015,25 years to life,23,48,29
29,Hispanic,Male,New York,Murder,1993,2015,25 years to Life,22,51,30
23,Black,Male,New York,Kidnapping,1993,2015,12.5 to 25 years,22,45,31
23,Black,Male,New York,Kidnapping,1993,2015,12.5 to 25 years,22,45,32
17,Black,Male,District of Columbia,Murder,1994,2015,36 years to life,21,38,33
29,Black,Male,Illinois,Murder,1996,2015,75 years,19,48,34
24,Black,Male,Mississippi,Murder,1996,2015,Death,19,43,35
18,Black,Male,District of Columbia,Murder,1994,2015,36 yeasr to life,21,39,36
20,Black,Male,Illinois,Murder,1996,2015,25 years,19,39,37
29,Caucasian,Male,Alabama,Murder,1996,2015,Life,19,48,38
27,Hispanic,Male,Massachusetts,Murder,1996,2015,Life without parole,19,46,39
20,Hispanic,Male,Illinois,Sexual Assault,1995,2015,55 years,20,40,40
26,Caucasian,Male,Oklahoma,Child Sex Abuse,1997,2015,Life,18,44,41
25,Black,Male,Ohio,Assault,1997,2015,Probation,18,43,42
18,Black,Male,California,Murder,1998,2015,Life without parole,17,35,43
19,Native American,Male,Alaska,Murder,1999,2015,60 years,16,35,44
19,Native American,Male,Alaska,Murder,1999,2015,33 years,16,35,45
17,Native American,Male,Alaska,Murder,1999,2015,38 years,16,33,46
27,Caucasian,Male,Tennessee,Murder,2002,2015,23 years,13,40,47
29,Hispanic,Male,California,Sexual Assault,1999,2015,55 years,16,45,48
34,Hispanic,Male,Wisconsin,Child Sex Abuse,1998,2015,20 years,17,51,49
23,Caucasian,Male,Kansas,Murder,2000,2015,Life,15,38,50
52,Caucasian,Male,Massachusetts,Sexual Assault,2003,2015,12 to 16 years,12,64,51
20,Native American,Male,Alaska,Murder,1999,2015,40 years,16,36,52
24,Caucasian,Male,Illinois,Murder,2000,2015,46 years,15,39,53
51,Caucasian,Male,Washington,Sex Offender Registration,2000,2015,20 days,15,66,54
18,Caucasian,Male,Washington,Murder,2002,2015,Life without parole,13,31,55
41,Caucasian,Male,South Dakota,Manslaughter,2001,2015,25 years,14,55,56
35,Black,Male,North Carolina,Robbery,2003,2015,3 years,12,47,57
20,Black,Male,North Carolina,Murder,2001,2015,12 years,14,34,58
