Age1,Race,Sex,State,Crime,Convicted,Exonerated,Sentence,Lost,Age2,id
23,Black,Male,North Carolina,Assault,1972,2012,34 years,40,63,1
17,Black,Male,North Carolina,Assault,1972,2012,28 years,40,57,2
18,Black,Male,North Carolina,Assault,1972,2012,29 years,40,58,3
17,Black,Male,North Carolina,Assault,1972,2012,29 years,40,57,4
18,Black,Male,North Carolina,Assault,1972,2012,29 years,40,58,5
18,Black,Male,North Carolina,Assault,1972,2012,29 years,40,58,6
33,Caucasian,Female,North Carolina,Other Violent Felony,1972,2012,15 years,40,73,7
21,Black,Male,North Carolina,Assault,1972,2012,31 years,40,61,8
17,Black,Male,North Carolina,Assault,1972,2012,29 years,40,57,9
18,Black,Male,North Carolina,Assault,1972,2012,29,40,58,10
22,Black,Male,Virginia,Sexual Assault,1978,2012,10 years,34,56,11
17,Black,Male,District of Columbia,Murder,1980,2012,20 to Life,32,49,12
19,Black,Male,Illinois,Murder,1981,2012,Life,31,50,13
25,Black,Male,Texas,Sexual Assault,1981,2012,99 years,31,56,14
18,Black,Male,District of Columbia,Sexual Assault,1981,2012,20 to 66 years,31,49,15
38,Black,Male,Texas,Sexual Assault,1984,2012,Life,28,66,16
25,Black,Male,Texas,Sexual Assault,1984,2012,Life,28,53,17
20,Hispanic,Male,California,Sexual Assault,1984,2012,15 years,28,48,18
18,Caucasian,Male,Illinois,Murder,1989,2012,Life,23,41,19
25,Caucasian,Male,California,Murder,1985,2012,25 to Life,27,52,20
20,Caucasian,Male,Wyoming,Murder,2010,2012,life,2,22,21
26,Caucasian,Male,Michigan,Murder,1986,2012,Life without parole,26,52,22
41,Black,Male,North Carolina,Sexual Assault,1988,2012,Life,24,65,23
27,Hispanic,Male,Texas,Child Sex Abuse,1993,2012,Probation,19,46,24
26,Caucasian,Male,Ohio,Murder,1989,2012,Death,23,49,25
21,Black,Male,North Carolina,Child Sex Abuse,1989,2012,Life,23,44,26
24,Caucasian,Male,Texas,Child Sex Abuse,1989,2012,Life,23,47,27
32,Caucasian,Male,Utah,Child Sex Abuse,1990,2012,1 to 15 years,22,54,28
26,Black,Male,Louisiana,Sexual Assault,1999,2012,Committed to mental hospital,13,39,29
19,Hispanic,Male,Illinois,Murder,1993,2012,Life,19,38,30
25,Black,Male,Indiana,Murder,1995,2012,110 years,17,42,31
18,Black,Male,California,Murder,1994,2012,Life,18,36,32
33,Caucasian,Male,Colorado,Murder,1996,2012,Life,16,49,33
44,Black,Male,Illinois,Murder,1996,2012,Life without parole,16,60,34
18,Black,Male,Pennsylvania,Murder,1995,2012,Life without parole,17,35,35
19,Black,Male,Texas,Murder,1995,2012,60 years,17,36,36
21,Caucasian,Male,Florida,Murder,1999,2012,Death,13,34,37
16,Black,Male,Illinois,Murder,1997,2012,40 years,15,31,38
18,Black,Male,Texas,Robbery,1996,2012,Probation,16,34,39
15,Black,Male,Illinois,Murder,1998,2012,40 years,14,29,40
21,Black,Male,Texas,Robbery,1995,2012,Probation,17,38,41
17,Black,Male,Illinois,Murder,1998,2012,36 years,14,31,42
17,Black,Male,Illinois,Murder,1998,2012,30 years,14,31,43
27,Black,Male,Connecticut,Sexual Assault,1998,2012,12 years,14,41,44
24,Black,Male,Texas,Robbery,1996,2012,Life,16,40,45
18,Black,Male,New York,Murder,1997,2012,25 years to life,15,33,46
21,Caucasian,Female,Indiana,Murder,1996,2012,60 years,16,37,47
19,Black,Male,New York,Murder,1997,2012,25 years to life,15,34,48
23,Black,Male,Oklahoma,Robbery,1996,2012,30 years,16,39,49
18,Black,Male,New York,Murder,1997,2012,25 years to life,15,33,50
20,Black,Male,Illinois,Murder,1997,2012,80 years,15,35,51
25,Hispanic,Male,New York,Murder,1997,2012,25 years to life,15,40,52
43,Caucasian,Male,Tennessee,Murder,1997,2012,20 years,15,58,53
27,Black,Female,New York,Murder,1997,2012,25 years to life,15,42,54
27,Caucasian,Male,Indiana,Child Sex Abuse,2010,2012,20 years,2,29,55
21,Hispanic,Male,California,Murder,1998,2012,41 years to life,14,35,56
15,Caucasian,Male,Virginia,Murder,2001,2012,Life without parole,11,26,57
23,Caucasian,Female,Alaska,Murder,2007,2012,99 years,5,28,58
21,Caucasian,Male,Louisiana,Murder,1997,2012,Death,15,36,59
17,Hispanic,Male,Texas,Sexual Assault,1997,2012,Probation,15,32,60
40,Hispanic,Male,New York,Robbery,1997,2012,20 to life,15,55,61
27,Black,Male,South Carolina,Murder,2001,2012,Life,11,38,62
50,Caucasian,Male,Missouri,Murder,2002,2012,Life without parole,10,60,63
18,Black,Male,Illinois,Murder,2002,2012,76 years,10,28,64
33,Caucasian,Male,Indiana,Child Sex Abuse,2003,2012,30 years,9,42,65
18,Caucasian,Male,Arizona,Murder,2002,2012,20 years,10,28,66
23,Black,Male,Florida,Murder,2002,2012,Life,10,33,67
20,Hispanic,Male,Puerto Rico,Murder,2004,2012,172 years,8,28,68
43,Caucasian,Male,Michigan,Sexual Assault,2003,2012,15 to 35 years,9,52,69
32,Caucasian,Male,Washington,Child Sex Abuse,2002,2012,15 years,10,42,70
16,Black,Male,California,Sexual Assault,2003,2012,6 years,9,25,71
43,Caucasian,Female,Indiana,Murder,2005,2012,55 years,7,50,72
21,Hispanic,Male,New Jersey,Child Sex Abuse,2004,2012,3 years,8,29,73
32,Caucasian,Female,Rhode Island,Murder,2007,2012,35 years,5,37,74
45,Caucasian,Male,Iowa,Sexual Assault,2005,2012,15 years,7,52,75
30,Caucasian,Male,Oklahoma,Murder,2009,2012,Life without parole,3,33,76
21,Caucasian,Male,Wisconsin,Sexual Assault,2004,2012,10 years,8,29,77
