Age1,Race,Sex,State,Crime,Convicted,Exonerated,Sentence,Lost,Age2,id
19,Black,Male,Michigan,Sexual Assault,1975,2010,Life,35,54,1
32,Black,Male,Virginia,Murder,1978,2010,Life,32,64,2
26,Black,Male,New York,Sexual Assault,1976,2010,5 years,34,60,3
28,Black,Male,Mississippi,Murder,1980,2010,Life,30,58,4
22,Black,Male,Mississippi,Murder,1980,2010,Life,30,52,5
21,Black,Male,California,Murder,1982,2010,Life without parole,28,49,6
24,Black,Male,Ohio,Child Sex Abuse,1981,2010,Life,29,53,7
24,Caucasian,Male,Kentucky,Sexual Assault,1982,2010,35 years,28,52,8
15,Caucasian,Male,Florida,Murder,1984,2010,Life,26,41,9
18,Black,Male,Texas,Sexual Assault,1983,2010,75 years,27,45,10
35,Caucasian,Male,New Jersey,Murder,1988,2010,Life,22,57,11
33,Caucasian,Male,Missouri,Kidnapping,1991,2010,90 years,19,52,12
27,Black,Male,Louisiana,Murder,1986,2010,Life,24,51,13
28,Caucasian,Male,New York,Sexual Assault,1985,2010,3 years and 6 months,25,53,14
21,Caucasian,Female,Massachusetts,Murder,2005,2010,Life,5,26,15
37,Caucasian,Male,Washington,Child Sex Abuse,1985,2010,Life,25,62,16
20,Black,Male,Illinois,Murder,1986,2010,Life,24,44,17
22,Caucasian,Male,Mississippi,Murder,1989,2010,Life,21,43,18
18,Black,Male,Mississippi,Robbery,1988,2010,50 years,22,40,19
25,Caucasian,Male,New York,Murder,1992,2010,25 to Life,18,43,20
19,Caucasian,Male,Texas,Child Sex Abuse,1993,2010,5 years,17,36,21
31,Native American,Male,Wisconsin,Child Sex Abuse,1990,2010,10 years,20,51,22
28,Caucasian,Male,North Carolina,Child Sex Abuse,1992,2010,Life,18,46,23
18,Black,Male,Texas,Sexual Assault,1991,2010,Life,19,37,24
23,Black,Male,Ohio,Murder,1992,2010,33 to Life,18,41,25
28,Caucasian,Male,North Carolina,Murder,1993,2010,Life,17,45,26
18,Black,Male,Louisiana,Murder,1993,2010,Life without parole,17,35,27
22,Black,Male,Louisiana,Murder,1993,2010,Life without parole,17,39,28
26,Black,Male,Texas,Murder,1994,2010,Death,16,42,29
21,Black,Male,Louisiana,Murder,1993,2010,Life without parole,17,38,30
36,Caucasian,Male,Washington,Sexual Assault,1993,2010,20 years and 6 months,17,53,31
28,Caucasian,Male,Washington,Sexual Assault,1993,2010,23 years and 6 months,17,45,32
38,Caucasian,Male,Missouri,Sexual Assault,1994,2010,Life without parole,16,54,33
19,Black,Male,Maryland,Murder,1995,2010,25 years,15,34,34
20,Black,Male,New York,Murder,1995,2010,34 to Life,15,35,35
23,Native American,Male,Washington,Sexual Assault,1996,2010,10 years,14,37,36
15,Black,Male,Mississippi,Robbery,1997,2010,15 years,13,28,37
22,Other,Male,New York,Robbery,1997,2010,10 to 20 years,13,35,38
29,Caucasian,Male,Wisconsin,Child Sex Abuse,2007,2010,30 years,3,32,39
23,Black,Male,Fed-MO,Drug Possession or Sale,1998,2010,20 years,12,35,40
25,Black,Male,Wisconsin,Murder,2005,2010,40 years,5,30,41
20,Black,Male,Maryland,Murder,1999,2010,Life,11,31,42
25,Black,Male,North Carolina,Kidnapping,1999,2010,11 1/2 to 15 1/4 years,11,36,43
44,Black,Male,Arkansas,Drug Possession or Sale,1999,2010,Life,11,55,44
29,Hispanic,Male,Fed-IL,Drug Possession or Sale,1999,2010,17.5 years,11,40,45
56,Caucasian,Female,Fed-CA,Obstruction of Justice,2008,2010,Not sentenced,2,58,46
18,Black,Male,Michigan,Murder,2000,2010,20 to 50 years,10,28,47
27,Black,Male,Michigan,Murder,2001,2010,32 to 62 years,9,36,48
21,Black,Male,Pennsylvania,Robbery,2002,2010,22 to 70 years,8,29,49
20,Caucasian,Male,Indiana,Arson,2003,2010,15 years,7,27,50
44,Hispanic,Male,California,Fraud,2005,2010,5 years,5,49,51
35,Black,Male,Illinois,Murder,2003,2010,30 years,7,42,52
27,Caucasian,Female,Michigan,Child Abuse,2005,2010,10 to 15 years,5,32,53
26,Hispanic,Male,Texas,Child Sex Abuse,2005,2010,10 years,5,31,54
19,Black,Male,New York,Attempted Murder,2004,2010,12 years,6,25,55
21,Black,Male,Arkansas,Murder,2004,2010,Life without parole,6,27,56
38,Black,Male,New Jersey,Child Sex Abuse,2004,2010,4 years,6,44,57
28,Hispanic,Male,Massachusetts,Murder,2006,2010,Life without parole,4,32,58
19,Caucasian,Male,Arizona,Sexual Assault,2004,2010,14 years,6,25,59
49,Caucasian,Male,Texas,Murder,2007,2010,75 years,3,52,60
17,Hispanic,Male,Texas,Assault,2006,2010,8 years,4,21,61
34,Caucasian,Female,Colorado,Child Sex Abuse,2006,2010,20 years to life,4,38,62
34,Black,Male,New Jersey,Manslaughter,2007,2010,5 years,3,37,63
17,Black,Male,Wisconsin,Child Sex Abuse,2006,2010,5 years,4,21,64
50,Black,Male,Minnesota,Sexual Assault,2007,2010,4 years,3,53,65
38,Caucasian,Male,New York,"Attempt, Violent",2007,2010,6 years,3,41,66
48,Caucasian,Male,Massachusetts,Assault,2006,2010,2 years and six months,4,52,67
18,Black,Male,Texas,Weapon Possession or Sale,2007,2010,3 years,3,21,68
33,Caucasian,Male,Massachusetts,Forgery,2009,2010,2 years,1,34,69
28,Asian,Male,Minnesota,Manslaughter,2007,2010,8 years,3,31,70
17,Black,Male,Michigan,Sexual Assault,2007,2010,15 to 30 years,3,20,71
25,Black,Male,Illinois,Weapon Possession or Sale,2007,2010,6 years,3,28,72
47,Black,Male,Washington,Drug Possession or Sale,2007,2010,1 year and 1 day,3,50,73
18,Caucasian,Male,Missouri,Murder,2008,2010,Life without parole,2,20,74
27,Black,Female,Florida,Destruction of Property,2010,2010,Not sentenced,0,27,75
17,Black,Male,Missouri,Child Sex Abuse,2008,2010,7 years,2,19,76
22,Caucasian,Male,Oklahoma,Assault,2009,2010,Life,1,23,77
48,Black,Male,New York,Sexual Assault,2008,2010,17 years,2,50,78
17,Black,Male,Texas,Drug Possession or Sale,2008,2010,30 days,2,19,79
17,Black,Male,Michigan,Murder,2009,2010,Life,1,18,80
