Age1,Race,Sex,State,Crime,Convicted,Exonerated,Sentence,Lost,Age2,id
19,Black,Male,Michigan,Murder,1976,2017,Life without parole,41,60,1
31,Caucasian,Male,California,Murder,1980,2017,Life without parole,37,68,2
16,Black,Male,Massachusetts,Murder,1981,2017,Life without parole,36,52,3
28,Caucasian,Male,Massachusetts,Murder,1981,2017,Life without parole,36,64,4
24,Hispanic,Male,Massachusetts,Murder,1983,2017,Life,34,58,5
24,Black,Male,Pennsylvania,Child Sex Abuse,1984,2017,23 1/2 to 47 years,33,57,6
29,Black,Male,California,Murder,1986,2017,Life without parole,31,60,7
17,Caucasian,Male,Massachusetts,Sexual Assault,1987,2017,Life,30,47,8
16,Black,Male,New York,Sexual Assault,1989,2017,19 to 57 years,28,44,9
35,Black,Male,Kentucky,Murder,1988,2017,70 years,29,64,10
37,Black,Male,Illinois,Murder,1990,2017,Life without parole,27,64,11
23,Caucasian,Male,Ohio,Sexual Assault,1991,2017,22 to 56 years,26,49,12
29,Black,Male,Michigan,Child Sex Abuse,1989,2017,60 to 100 years,28,57,13
27,Black,Male,Indiana,Sexual Assault,1993,2017,36 years,24,51,14
35,Caucasian,Male,California,Child Sex Abuse,1993,2017,10 years,24,59,15
18,Hispanic,Male,New York,Murder,1991,2017,25 years to life,26,44,16
22,Hispanic,Male,Illinois,Murder,1995,2017,Life without parole,22,44,17
16,Black,Male,Pennsylvania,Murder,1994,2017,Life without parole,23,39,18
44,Caucasian,Female,Texas,Murder,1993,2017,Unknown,24,68,19
28,Caucasian,Male,Illinois,Sexual Assault,1992,2017,26 years,25,53,20
49,Caucasian,Male,Texas,Child Sex Abuse,1992,2017,48 years,25,74,21
41,Caucasian,Female,Texas,Child Sex Abuse,1992,2017,48 years,25,66,22
19,Black,Male,Illinois,Murder,1994,2017,60 years,23,42,23
25,Black,Male,Texas,Sexual Assault,1992,2017,25 years,25,50,24
35,Caucasian,Male,Indiana,Sexual Assault,1992,2017,80 years,25,60,25
25,Black,Male,Texas,Sexual Assault,1992,2017,10 years,25,50,26
19,Black,Male,Louisiana,Sexual Assault,1996,2017,Life without parole,21,40,27
15,Black,Male,Illinois,Murder,1995,2017,30 years,22,37,28
25,Black,Male,Michigan,Murder,1992,2017,30 to 60 years,25,50,29
28,Caucasian,Male,Nevada,Murder,1995,2017,Life without parole,22,50,30
14,Caucasian,Male,Illinois,Murder,1996,2017,Life without parole,21,35,31
17,Black,Male,Illinois,Murder,1995,2017,Life without parole,22,39,32
32,Caucasian,Male,New York,Fraud,1997,2017,Probation,20,52,33
19,Hispanic,Male,Illinois,Murder,1995,2017,Life without parole,22,41,34
18,Black,Male,Nevada,Murder,1995,2017,Life,22,40,35
25,Black,Male,Illinois,Murder,1997,2017,Life without parole,20,45,36
26,Black,Male,Illinois,Murder,1997,2017,Life without parole,20,46,37
23,Hispanic,Male,Kentucky,Child Sex Abuse,1996,2017,5 years,21,44,38
37,Black,Male,Ohio,Murder,1995,2017,15 years to life,22,59,39
39,Caucasian,Male,Arizona,Manslaughter,1996,2017,10 years and 6 months,21,60,40
17,Black,Male,Kansas,Murder,1994,2017,Life,23,40,41
17,Hispanic,Male,Illinois,Murder,1995,2017,Life without parole,22,39,42
15,Black,Male,Illinois,Robbery,1998,2017,20 years,19,34,43
19,Black,Male,Illinois,Murder,1998,2017,Life without parole,19,38,44
17,Black,Male,Illinois,Murder,1998,2017,55 years,19,36,45
46,Caucasian,Male,Wisconsin,Sexual Assault,1995,2017,25 years,22,68,46
16,Black,Male,Illinois,Murder,1998,2017,Life without parole,19,35,47
21,Black,Male,New York,Murder,1997,2017,25 to Life,20,41,48
20,Hispanic,Male,California,Attempted Murder,1997,2017,Life,20,40,49
29,Black,Male,Indiana,Robbery,1997,2017,40 years,20,49,50
32,Black,Male,New York,Murder,2004,2017,50 years to life,13,45,51
23,Black,Male,Michigan,Murder,1997,2017,30 to 50 years,20,43,52
25,Black,Male,New York,Murder,1998,2017,25 years to life,19,44,53
39,Caucasian,Male,Missouri,Sexual Assault,2000,2017,committed to mental hospital,17,56,54
21,Caucasian,Male,Virginia,Sexual Assault,1999,2017,8 1/2 years,18,39,55
25,Hispanic,Male,Illinois,Murder,2000,2017,Life without parole,17,42,56
23,Hispanic,Male,Illinois,Murder,2000,2017,Death,17,40,57
34,Caucasian,Male,Michigan,Child Sex Abuse,2007,2017,12 to 50 years,10,44,58
23,Black,Male,Kansas,Robbery,2001,2017,19 years,16,39,59
26,Caucasian,Male,Massachusetts,Assault,2002,2017,12 to 20 years,15,41,60
25,Caucasian,Male,California,Murder,2009,2017,40 to life,8,33,61
22,Caucasian,Male,Montana,Murder,2002,2017,Life,15,37,62
49,Black,Male,Michigan,Child Sex Abuse,2002,2017,15 to 30 years,15,64,63
18,Caucasian,Female,Nevada,Murder,2002,2017,40 to 100 years,15,33,64
43,Caucasian,Male,Arkansas,Murder,2002,2017,Death,15,58,65
33,Caucasian,Female,California,Threats,2001,2017,2 years,16,49,66
18,Hispanic,Male,Illinois,Murder,2002,2017,55 years,15,33,67
51,Caucasian,Female,Michigan,Murder,2003,2017,7 1/2 to 15 years,14,65,68
17,Caucasian,Male,Montana,Child Sex Abuse,2002,2017,5 years,15,32,69
54,Caucasian,Female,Tennessee,Murder,2010,2017,Life,7,61,70
47,Caucasian,Male,Fed-NY,Fraud,2009,2017,2 years,8,55,71
28,Caucasian,Female,Colorado,Murder,2004,2017,20 years,13,41,72
20,Black,Male,Maryland,Murder,2005,2017,Life,12,32,73
31,Black,Male,Texas,Drug Possession or Sale,2005,2017,180 days,12,43,74
38,Hispanic,Male,New York,Attempted Murder,2006,2017,12 years,11,49,75
20,Black,Male,Illinois,Drug Possession or Sale,2007,2017,9 years,10,30,76
46,Black,Male,Utah,Arson,2006,2017,5 to life,11,57,77
39,Hispanic,Male,Texas,Traffic Offense,2007,2017,25 years,10,49,78
